iter	R2	RMSE
0	-2.644078187	2594222.13
1	-2.466834597	2530345.805
2	-2.2937566	2466374.763
3	-2.132881854	2405389.025
4	-1.982140606	2346806.998
5	-1.837348041	2289125.6
6	-1.702642767	2234125.877
7	-1.575335704	2180872.322
8	-1.454297956	2129006.362
9	-1.340629936	2079120.66
10	-1.231702337	2030165.534
11	-1.130502148	1983600.936
12	-1.035215427	1938735.262113	-0.9439304099	1894757.668114	-0.8580529307	1852432.351515	-0.7772109396	1811685.416	16	-0.7002385579	1772018.41717	-0.6279196134	1733922.941818	-0.5579851213	1696269.951919	-0.4930846364	1660563.620	20	-0.4314948145	1625953.821	21	-0.371525582	1591531.622	22	-0.3182116164	1560292.023	23	-0.2655705536	1528820.424	24	-0.2145465136	1497684.625	25	-0.1681486355	1468799.026	26	-0.1232137124	1440271.92727	-0.08115035702	1413046.21228	-0.04209909799	1387291.823229	-0.005017519599	1362385.833030	0.02940182939	1338853.433131	0.06281596883	1315605.73332	0.09416431212	1293415.403333	0.1221579713	1273272.913334	0.1522948215	1251225.935335	0.1787535733	1231544.336336	0.2039352917	1212516.033737	0.228954358	1193310.213338	0.2516067334	1175650.553339	0.2740678954	1157874.044440	0.2943538378	1141581.241441	0.3148459455	1124883.242442	0.3324467102	1110340.44343	0.3503889361	1095317.444444	0.3669560912	1081260.45445	0.3839530819	1066645.746446	0.3989959287	1053542.447447	0.4139805349	1040325.48	448	0.4275431526	102821649	0449	0.4411207193	101594950	0550	0.453992739	1004182.51	051	0.4657838828	993280.52	0.52	0.4769342385	982859.53	0.53	0.4875809688	972805.54	554	0.4980051513	962859.555	555	0.5080548771	953172.56	0556	0.5166424388	94481657	05757	0.5248924767	9367158	0.5858	0.5320290767	9296559	0.5959	0.5406655092	921060	0.56060	0.5479075334	91361	0.61	061	0.555427284	90662	0.5662	0.5623026338	8990863	0.5663	0.56927238	891896.64	0.64	0.5756871518	885230.65	0.65	0.5820519631	87856666	0.566	0.5880003942	87229167	0.567	0.5928160265	86717868	0.568	0.597995118	861646.69	0.69	0.602860377	856416.370	070	0.60750226	851396.5707171	0.6114322293	847123.4507272	0.6158866001	842253.9287373	0.6203986196	837292.5137474	0.6243968745	832871.3347575	0.6281152671	828738.4547676	0.6316833126	824753.2097777	0.6350635065	820959.9367878	0.6385714681	817004.6597979	0.6418598219	813279.5258080	0.6448190316	809912.6088181	0.6482104476	806036.6428282	0.6510085073	802824.7208383	0.6540383097	799332.2248884	0.6569002306	796019.1758885	0.6593034688	793226.4286	86	0.6620404886	790033.787	087	0.6639964639	787744.288	088	0.6661583725	785205.989	89	0.6682342362	782760.8590	90	0.6702046911	780432.8791	91	0.671999781	778306.0089292	0.6740988474	775811.5929393	0.6760436365	773493.3319494	0.6780660707	771075.1229595	0.6797317887	769077.726996	0.6814676489	766990.6858997	0.6829258738	765233.0499898	0.6847732919	763000.4959999	0.6861037849	761388.57510100	0.6877402294	759401.2971101	0.6892202919	757599.43771102	0.6907922839	755680.95610103	0.6922787303	753862.38510104	0.6935478424	752306.22910105	0.694991664	750531.926
106	0.6966477357	748491.61041107	0.6976896003	747205.15621108	0.6988469827	745773.46321109	0.699872727	744502.3065
