iter	Passed	Remaining
0	184	276792
1	310	232607
2	420	209764
3	510	191019
4	607	181526
5	708	176448
6	820	175067
7	919	171440
8	1029	170526
9	1153	171854
10	1268	171727
11	1349	167389
12	1435	164145
13	1534	162859
14	1635	161942
15	1714	159032
16	1790	156218
17	1873	154233
18	1971	153642
19	2067	152980
20	2154	151724
21	2239	150431
22	2322	149140
23	2401	147671
24	2511	148167
25	2599	147357
26	2687	146628
27	2761	145202
28	2846	144389
29	2930	143599
30	3034	143780
31	3128	143508
32	3213	142869
33	3302	142411
34	3391	141959
35	3512	142846
36	3617	143019
37	3698	142277
38	3795	142184
39	3889	141972
40	3991	142022
41	4100	142334
42	4184	141793
43	4261	141026
44	4348	140587
45	4452	140735
46	4580	141613
47	4670	141281
48	4757	140881
49	4835	140242
50	4919	139785
51	5000	139232
52	5091	139009
53	5169	138423
54	5250	137950
55	5330	137444
56	5412	137011
57	5520	137259
58	5600	136797
59	5678	136273
60	5762	135937
61	5843	135520
62	5924	135133
63	6007	134791
64	6107	134828
65	6194	134584
66	6277	134266
67	6358	133909
68	6444	133652
69	6549	133789
70	6643	133713
71	6744	133767
72	6874	134375
73	6986	134639
74	7096	134828
75	7194	134803
76	7281	134566
77	7382	134588
78	7519	135247
79	7662	136007
80	7755	135868
81	7842	135611
82	7928	135351
83	8008	135001
84	8119	135169
85	8203	134884
86	8288	134617
87	8372	134345
88	8459	134109
89	8590	134582
90	8676	134344
91	8765	134156
92	8855	133971
93	8941	133735
94	9020	133410
95	9138	133656
96	9244	133712
97	9341	133634
98	9426	133397
99	9506	133084
100	9618	133226
101	9699	132945
102	9790	132794
103	9872	132513
104	9959	132321
105	10040	132041
106	10150	132143
107	10228	131838
108	10310	131577
109	10449	132038
110	10598	132621
111	10721	132875
112	10813	132723
113	10902	132554
114	10989	132348
115	11078	132179
116	11202	132415
117	11284	132163
118	11369	131947
119	11463	131827
120	11545	131584
121	11659	131698
122	11743	131471
123	11827	131247
124	11910	131017
125	11993	130781
126	12075	130546
127	12188	130644
128	12272	130432
129	12355	130204
130	12441	130019
131	12519	129751
132	12602	129527
133	12708	129547
134	12790	129325
135	12872	129100
136	12956	128906
137	13039	128693
138	13122	128482
139	13242	128645
140	13324	128423
141	13411	128263
142	13494	128052
143	13575	127833
144	13669	127737
145	13794	127931
146	13877	127726
147	14006	127948
148	14098	127834
149	14192	127730
150	14330	128029
151	14426	127939
152	14515	127791
153	14611	127707
154	14706	127615
155	14804	127549
156	14896	127425
157	14980	127243
158	15066	127068
159	15154	126918
160	15245	126792
161	15379	127019
162	15461	126818
163	15542	126616
164	15629	126454
165	15710	126255
166	15820	126283
167	15913	126174
168	15993	125963
169	16080	125804
170	16163	125624
171	16248	125450
172	16383	125673
173	16476	125564
174	16557	125365
175	16642	125199
176	16728	125036
177	16835	125038
178	16924	124898
179	17012	124760
180	17097	124594
181	17180	124419
182	17266	124258
183	17401	124458
184	17515	124500
185	17656	124732
186	17747	124609
187	17849	124565
188	17954	124539
189	18036	124354
190	18117	124165
191	18196	123964
192	18280	123797
193	18365	123634
194	18503	123832
195	18586	123655
196	18671	123499
