iter	R2	RMSE
0	0.04311677863	1317060.443
1	0.08375086746	1288792.573
2	0.1250671314	1259399.749
3	0.1663029337	1229363.665
4	0.2061686191	1199610.802
5	0.2441331543	1170574.03
6	0.2796030255	1142778.804
7	0.3125905487	1116307.868
8	0.3428375907	1091471.985
9	0.3715660052	1067348.076
10	0.3994858155	1043368.862
11	0.4257009799	1020340.85
12	0.4519171476	996780.0651
13	0.4758266167	974795.9556
14	0.4974802205	954449.1965
15	0.5198686421	932945.4952
16	0.5394224414	913750.4905
17	0.55834894	894779.1898
18	0.5765012959	876198.044
19	0.5923517378	859644.7873
20	0.6082801005	842682.6526
21	0.6240443373	825552.2241
22	0.6396081925	808283.4592
23	0.6535829374	792457.3062
24	0.6670956395	776847.8682
25	0.6804634918	761090.8118
26	0.6929064686	746124.9636
27	0.7052201686	731013.0323
28	0.7163762811	717046.8133
29	0.7265053736	704126.4123
30	0.7362863598	691420.948
31	0.7463106893	678152.4275
32	0.7555265303	665720.7666
33	0.7648384291	652919.1592
34	0.7732649691	641114.4252
35	0.7810851167	629961.3149
36	0.7884353243	619295.3438
37	0.7959736865	608162.0661
38	0.8023990254	598509.127
39	0.8088090918	588721.4431
40	0.8150894307	578971.3911
41	0.8210003808	569642.377
42	0.8263331099	561092.8701
43	0.8318580866	552095.5276
44	0.8371261485	543377.8356
45	0.8424731124	534384.1675
46	0.8474972985	525793.2483
47	0.8520885845	517817.9286
48	0.8568389803	509434.8226
49	0.8612963208	501441.4459
50	0.8648633825	494951.6297
51	0.8687344234	487811.0814
52	0.8719939004	481716.5517
53	0.8752974244	475459.9585
54	0.87865627	469013.0284
55	0.8820392633	462428.907
56	0.8849619251	456664.2762
57	0.8876108486	451375.9676
58	0.8903753272	445790.0712
59	0.8931663933	440078.5303
60	0.8956078838	435020.8647
61	0.8980897853	429818.4907
62	0.9005325366	424635.9487
63	0.9028298967	419703.4784
64	0.9049874342	415017.8341
65	0.906906074	410806.1243
66	0.9086914206	406847.854
67	0.910547248	402692.0812
68	0.9121831092	398992.9894
69	0.9135447199	395887.6897
70	0.9151942432	392092.8326
71	0.9168431723	388262.2735
72	0.9183405149	384750.8207
73	0.919763639	381383.4546
74	0.9211446958	378086.9541
75	0.9224339238	374983.4909
76	0.9236963144	371919.5384
77	0.9250198403	368679.8625
78	0.9260998768	366014.9442
79	0.9272045563	363268.9973
80	0.9282186907	360729.7197
81	0.9291400473	358407.1504
82	0.9301324377	355888.5634
83	0.9310106052	353644.9038
84	0.9319578595	351208.6633
85	0.9329064015	348752.0579
86	0.9337673771	346507.1603
87	0.9346435768	344207.5361
88	0.9353956344	342221.4046
89	0.9361862419	340120.9609
90	0.9368254146	338413.3107
91	0.9375007524	336599.6276
92	0.9381677341	334798.7419
93	0.9389288771	332731.7078
94	0.9395825043	330946.3506
95	0.9402005226	329249.3535
96	0.9407762844	327660.479
97	0.9412904603	326235.0165
98	0.9418870646	324573.1892
99	0.9424383896	323029.8862
100	0.9430045643	321437.303
101	0.9435418301	319918.7062
102	0.9440203843	318559.9633
103	0.9445258634	317118.4516
104	0.9449206637	315987.9968
105	0.9453807597	314665.4525
106	0.9458620738	313275.9418
107	0.9462741309	312081.4544
108	0.9466905245	310869.7339
109	0.9469950716	309980.4914
110	0.947331567	308994.9879
111	0.9476930939	307932.6594
112	0.948056186	306862.0301
113	0.9484012734	305841.0164
114	0.9487339046	304853.6205
115	0.9490858383	303805.4323
116	0.9494279634	302782.9796
117	0.949744183	301834.866
118	0.9500342468	300962.5485
119	0.9503171738	300109.251
120	0.950621139	299189.7911
121	0.9509380855	298228.0454
122	0.951188771	297465.1606
123	0.9515005093	296513.742
124	0.9517227302	295833.6605
125	0.9519224265	295221.1766
126	0.9521492915	294523.8186
127	0.9524024205	293743.774
128	0.9526093333	293104.6077
129	0.9528742176	292284.3238
130	0.9530802814	291644.5974
131	0.9533203611	290897.4944
132	0.9535311549	290239.9401
133	0.9537796879	289462.7431
134	0.9539896718	288804.4641
135	0.954198926	288146.9768
136	0.954390954	287542.2923
137	0.9545287838	287107.4895
138	0.9546960617	286578.9025
139	0.9548864345	285976.1483
140	0.955098317	285303.7935
141	0.9552446478	284838.5237
142	0.9554234038	284269.1221
143	0.9555768262	283779.5057
144	0.9557386762	283262.0776
145	0.9558979865	282751.8435
146	0.9560850265	282151.6205
147	0.9562388868	281656.9142
148	0.9563717223	281229.109
149	0.9564717784	280906.4417
150	0.9566288844	280399.047
151	0.9568186128	279785.0673
152	0.9569782647	279267.372
153	0.9570165468	279143.0939
154	0.9572008586	278543.9723
155	0.9573313838	278118.9079
156	0.9574441665	277751.0996
157	0.9575821583	277300.4151
158	0.9576874027	276956.1916
159	0.9578386017	276460.914
160	0.9579956837	275945.4241
161	0.9581547837	275422.3279
162	0.9582859959	274990.1742
163	0.9584608141	274413.3445
164	0.9585941535	273972.5616
165	0.958701323	273617.7744
166	0.9588359682	273171.3751
167	0.9590113155	272588.9374
168	0.959196251	271973.2995
169	0.9592923238	271652.9292
170	0.9594469021	271136.6678
171	0.9595744116	270710.0703
172	0.9597275628	270196.7947
173	0.9599007017	269615.3555
174	0.9600007207	269278.8968
175	0.9600529734	269102.9543
176	0.9601940334	268627.4094
177	0.9603145288	268220.5243
178	0.9604087817	267901.8234
179	0.9605381522	267463.7598
180	0.9606584507	267055.7702
181	0.9607704749	266675.2812
182	0.9608805482	266300.8891
183	0.9609755213	265977.4337
184	0.96106484	265672.8768
185	0.9611501869	265381.5358
186	0.9612814052	264932.9834
187	0.9613678796	264636.9665
188	0.961457864	264328.5821
189	0.9615862753	263887.8814
190	0.9616921147	263524.0922
191	0.9617649806	263273.3466
192	0.961827764	263057.1052
193	0.9619229943	262728.7691
194	0.96202501	262376.5822
195	0.9621485457	261949.4686
196	0.9622626547	261554.327
197	0.9623521197	261244.1059
198	0.9624637847	260856.3886
199	0.9625546128	260540.5942
200	0.962659793	260174.4211
201	0.9627384735	259900.1666
202	0.9628550028	259493.4508
203	0.9629422732	259188.4378
204	0.9630430888	258835.6362
205	0.9630886262	258676.1217
206	0.9631697417	258391.7355
207	0.9632368845	258156.0997
208	0.9632554352	258090.9584
209	0.963303579	257921.8238
210	0.9634270826	257487.4337
211	0.9635006244	257228.4224
212	0.9635923881	256904.8677
213	0.9636429791	256726.3117
214	0.9637443906	256368.0154
215	0.9637930396	256195.9558
216	0.9638590186	255962.4197
217	0.963903828	255803.6931
218	0.9639566128	255616.5889
219	0.9640049627	255445.0847
220	0.9640743486	255198.7613
221	0.9641560507	254908.4096
222	0.9641755753	254838.9746
223	0.9642450145	254591.875
224	0.964308361	254366.247
225	0.9643841385	254096.0788
226	0.9644641949	253810.3431
227	0.964547447	253512.8596
228	0.9646241511	253238.4645
229	0.9647193357	252897.5448
230	0.9648404067	252463.2438
231	0.9649080209	252220.3752
232	0.965007297	251863.3536
233	0.9650573282	251683.2371
234	0.9651352365	251402.5036
235	0.9652113934	251127.7777
236	0.965295508	250823.9959
237	0.9653478758	250634.6823
238	0.9654177923	250381.7057
239	0.9654826551	250146.786
240	0.9655816997	249787.641
241	0.9656672097	249477.1572
242	0.9657358227	249227.7465
243	0.9657900843	249030.3266
244	0.9658523368	248803.6406
245	0.9659252863	248537.7396
246	0.9659887522	248306.1747
247	0.9660415306	248113.4399
248	0.9661183766	247832.5479
249	0.966168922	247647.6177
250	0.9662629006	247303.4112
251	0.9663076148	247139.4722
252	0.9663829253	246863.11
253	0.9664422414	246645.2233
254	0.9664951793	246450.6033
255	0.9665553189	246229.3201
256	0.9666293247	245956.7434
257	0.966699819	245696.819
258	0.9667518378	245504.8402
259	0.9668050485	245308.3073
260	0.9668488189	245146.5239
261	0.9669133039	244907.9808
262	0.967020444	244511.1333
263	0.9670817712	244283.687
264	0.9671180032	244149.2126
265	0.9672177935	243778.459
266	0.9673131911	243423.4976
267	0.9673657451	243227.7303
268	0.9674286307	242993.2695
269	0.9674700833	242838.5953
270	0.9675293697	242617.2055
271	0.9675866741	242403.0244
272	0.9676780135	242061.2428
273	0.9677798066	241679.7751
274	0.9678715495	241335.4535
275	0.9679306379	241113.4279
276	0.9679926247	240880.2912
277	0.9680750039	240570.1078
278	0.9681133278	240425.6699
279	0.9681574224	240259.3756
280	0.9682283111	239991.7912
281	0.9683076373	239692.0031
282	0.9683411026	239565.4193
283	0.9683970922	239353.4867
284	0.9684546771	239135.3197
285	0.9685070974	238936.5461
286	0.9685906768	238619.2772
287	0.9686349416	238451.0762
288	0.9687051227	238184.1529
289	0.9687776575	237907.9626
290	0.9688286311	237713.6793
291	0.9688941715	237463.6414
292	0.9689478274	237258.7469
293	0.9690321535	236936.3748
294	0.9690580997	236837.096
295	0.9691190807	236603.599
296	0.9691763318	236384.1742
297	0.9692086686	236260.1474
298	0.9692690783	236028.2733
299	0.9693352461	235774.0362
300	0.9694243936	235431.0696
301	0.9694567213	235306.5756
302	0.9695184125	235068.82
303	0.9695735521	234856.1103
304	0.9696185182	234682.5036
305	0.969664659	234504.2277
306	0.9697270574	234262.9215
307	0.969772451	234087.2198
308	0.9698553089	233766.1667
309	0.9699054212	233571.7806
310	0.9699386902	233442.6399
311	0.970002323	233195.4371
312	0.9700613361	232965.9468
313	0.97011279	232765.6678
314	0.9701727284	232532.1468
315	0.9702423653	232260.545
316	0.9703034432	232022.0635
317	0.9703583841	231807.3349
318	0.9704149293	231586.1283
319	0.9704381906	231495.0681
320	0.9704897499	231293.1026
321	0.9705159665	231190.3404
322	0.9705521923	231048.2699
323	0.9705858913	230916.0303
324	0.9706412482	230698.6378
325	0.9707043802	230450.4615
326	0.9707447256	230291.7204
327	0.9707721145	230183.8951
328	0.9708369481	229928.4555
329	0.9708734128	229784.6624
330	0.9709133385	229627.118
331	0.9709594763	229444.9261
332	0.9709970395	229296.4874
333	0.9710338338	229150.9941
334	0.9710994539	228891.2869
335	0.9711551733	228670.5326
336	0.9712265441	228387.4576
337	0.9712756839	228192.3523
338	0.9713150032	228036.1182
339	0.9713704014	227815.8129
340	0.9714330067	227566.5905
341	0.9714645342	227440.9809
342	0.9715338263	227164.6678
343	0.9716063612	226875.0629
344	0.9716557423	226677.6912
345	0.9717053222	226479.3516
346	0.9717583113	226267.1816
347	0.97180476	226081.0358
348	0.9718477579	225908.5827
349	0.9719047381	225679.847
350	0.9719528948	225486.3507
351	0.9719987781	225301.8345
352	0.972033103	225163.7005
353	0.9720635774	225040.9915
354	0.972105894	224870.4869
355	0.9721633656	224638.7114
356	0.9721973222	224501.6565
357	0.9722275602	224379.54
358	0.9722548617	224269.2254
359	0.9722938157	224111.7339
360	0.9723387014	223930.1233
361	0.97237829	223769.8224
362	0.9724181825	223608.1747
363	0.9724463957	223493.7822
364	0.9724883103	223323.7278
365	0.9725139787	223219.523
366	0.972544909	223093.8922
367	0.9725836724	222936.3452
368	0.9726239533	222772.5124
369	0.972674186	222568.0346
370	0.9726961164	222478.7053
371	0.9727501392	222258.5008
372	0.9727949907	222075.5141
373	0.9728284349	221938.9688
374	0.9728624538	221799.9911
375	0.9728958651	221663.4106
376	0.9729200343	221564.5584
377	0.9729733344	221346.4037
378	0.9730203244	221153.8979
379	0.973054947	221011.9505
380	0.9731089804	220790.2396
381	0.9731330795	220691.2839
382	0.9731823985	220488.6322
383	0.9732222105	220324.9083
384	0.9732765626	220101.1928
385	0.9733136116	219948.5674
386	0.9733474371	219809.1286
387	0.9733851972	219653.3658
388	0.9734181876	219517.1881
389	0.9734717127	219296.0669
390	0.9735034861	219164.7003
391	0.9735303886	219053.4105
392	0.9735663156	218904.7004
393	0.9735923396	218796.9178
394	0.9736576761	218526.0819
395	0.9736952902	218370.0099
396	0.9737444106	218166.027
397	0.973797036	217947.2766
398	0.9738514103	217721.0259
399	0.9739174047	217446.1073
400	0.9739574686	217279.0406
401	0.9739739936	217210.0935
402	0.9740182415	217025.3711
403	0.974046009	216909.3692
404	0.9741117207	216634.6037
405	0.9741281771	216565.7388
406	0.9741494925	216476.5079
407	0.9741871758	216318.667
408	0.9742435202	216082.4474
409	0.9742765063	215944.0353
410	0.9743029118	215833.1724
411	0.9743278826	215728.2805
412	0.9743696705	215552.6326
413	0.9743975569	215435.3373
414	0.9744455931	215233.1387
415	0.9744598528	215173.0792
416	0.9745021765	214994.7185
417	0.9745321256	214868.4179
418	0.974555513	214769.7375
419	0.9745892664	214627.2386
420	0.9746193076	214500.3324
421	0.9746588873	214333.0169
422	0.9746827555	214232.0553
423	0.9747003952	214157.4098
424	0.9747427062	213978.2566
425	0.9747770408	213832.7668
426	0.9748151434	213671.1943
427	0.974835933	213582.9855
428	0.9748875061	213364.007
429	0.9749277523	213192.966
430	0.9749682538	213020.701
431	0.9749988226	212890.5907
432	0.9750369713	212728.1065
433	0.9750539991	212655.5411
434	0.9750884594	212508.6095
435	0.9751180774	212382.2432
436	0.9751403	212287.3806
437	0.9751650651	212181.6143
438	0.9751953774	212052.0857
439	0.9752347918	211883.5438
440	0.9752718653	211724.8895
441	0.9753083597	211568.5978
442	0.975346091	211406.8866
443	0.9753678505	211313.5726
444	0.9753893626	211221.2787
445	0.975449487	210963.1113
446	0.9754948948	210767.9258
447	0.9755379416	210582.7225
448	0.9755674639	210455.6119
449	0.9756063222	210288.1875
450	0.9756352436	210163.4905
451	0.9756485652	210106.0287
452	0.9756712245	210008.2529
453	0.9756873127	209938.804
454	0.9757089143	209845.5187
455	0.9757440788	209693.5745
456	0.9757732521	209567.4345
457	0.9757939092	209478.0709
458	0.9758224664	209354.468
459	0.9758533738	209220.6109
460	0.9758793475	209108.0548
461	0.9759227544	208919.8174
462	0.975959754	208759.2319
463	0.9760010409	208579.8926
464	0.9760375753	208421.0678
465	0.9760517501	208359.4139
466	0.9761101551	208105.1853
467	0.9761382451	207982.803
468	0.9761739697	207827.0539
469	0.9762023599	207703.1977
470	0.976242628	207527.3953
471	0.9762586976	207457.1972
472	0.9763084522	207239.6995
473	0.9763368713	207115.3656
474	0.9763555563	207033.5775
475	0.976381873	206918.3294
476	0.9764131476	206781.2855
477	0.9764274105	206718.7561
478	0.9764477026	206629.7618
479	0.9764706617	206529.0242
480	0.9765112751	206350.7053
481	0.97652393	206295.1105
482	0.9765690172	206096.914
483	0.9765856944	206023.5553
484	0.9766288877	205833.438
485	0.9766454535	205760.4757
486	0.9766785185	205614.7679
487	0.9767322662	205377.6972
488	0.9767527683	205287.194
489	0.9767803389	205165.4255
490	0.9767988275	205083.7276
491	0.9768583633	204820.4292
492	0.9768786675	204730.5562
493	0.9768987224	204641.7477
494	0.9769231967	204533.3165
495	0.976953482	204399.0607
496	0.9769848474	204259.9241
497	0.9770118572	204140.0326
498	0.9770203179	204102.4624
499	0.977038335	204022.4339
500	0.9770552513	203947.2669
501	0.9770648192	203904.7396
502	0.9770859242	203810.9011
503	0.9771283022	203622.3466
504	0.9771446812	203549.4241
505	0.9771664063	203452.6594
506	0.9771955894	203322.6036
507	0.9772136143	203242.2335
508	0.9772513774	203073.7505
509	0.9772854631	202921.554
510	0.977317343	202779.1038
511	0.977355831	202606.9928
512	0.9773989569	202413.9677
513	0.9774279515	202284.0891
514	0.9774469228	202199.0634
515	0.9774655338	202115.6178
516	0.9774993158	201964.0627
517	0.9775146902	201895.0515
518	0.9775432952	201766.5888
519	0.977559127	201695.4541
520	0.9775760992	201619.168
521	0.977614264	201447.52
522	0.9776404595	201329.62
523	0.9776642538	201222.4671
524	0.9776882994	201114.1245
525	0.977707363	201028.1882
526	0.9777429461	200867.6853
527	0.9777578387	200800.4719
528	0.9778073126	200577.0245
529	0.9778278146	200484.3549
530	0.9778479147	200393.4599
531	0.977872246	200283.3762
532	0.9779092594	200115.7975
533	0.977922951	200053.7734
534	0.9779530339	199917.4268
535	0.9779789041	199800.0995
536	0.9779916156	199742.4249
537	0.9780339085	199550.4128
538	0.978062663	199419.7601
539	0.9780729114	199373.1738
540	0.9780976481	199260.6821
541	0.9781211905	199153.5628
542	0.9781305587	199110.9208
543	0.978143656	199051.2893
544	0.978176627	198901.0953
545	0.9782092649	198752.3066
546	0.9782495433	198568.5326
547	0.9782934788	198367.8791
548	0.9783076538	198303.0982
549	0.9783461544	198127.0415
550	0.9783765479	197987.9462
551	0.9784010049	197875.9483
552	0.9784214926	197782.0788
553	0.9784455907	197671.61
554	0.978462664	197593.3061
555	0.9784937506	197450.6533
556	0.9785202051	197329.1758
557	0.9785684923	197107.2498
558	0.9786031602	196947.7636
559	0.9786344048	196803.9152
560	0.9786466881	196747.335
561	0.9786626278	196673.8878
562	0.9786913952	196541.2636
563	0.9787221269	196399.4845
564	0.9787484293	196278.0585
565	0.978791713	196078.0738
566	0.9788125842	195981.5697
567	0.9788345386	195880.0051
568	0.978860299	195760.7664
569	0.9788843074	195649.572
570	0.9788974383	195588.7295
571	0.9789176624	195494.984
572	0.9789460426	195363.3557
573	0.9789557657	195318.2392
574	0.9789690844	195256.4221
575	0.9789994317	195115.4951
576	0.9790360271	194945.4175
577	0.9790665285	194803.5488
578	0.9790895323	194696.4846
579	0.9791237352	194537.1885
580	0.9791372937	194474.005
581	0.9791669382	194335.7891
582	0.9792011235	194176.279
583	0.9792093179	194138.0244
584	0.9792248704	194065.3981
585	0.979244001	193976.0257
586	0.9792605973	193898.4594
587	0.9792754805	193828.8736
588	0.9792933342	193745.3657
589	0.9793253999	193595.2936
590	0.9793360144	193545.5908
591	0.9793454278	193501.5013
592	0.9793666346	193402.1381
593	0.9793858869	193311.8884
594	0.979417499	193163.6082
595	0.9794546197	192989.3434
596	0.9794856873	192843.3742
597	0.9795026567	192763.5978
598	0.9795316239	192627.3412
599	0.9795558927	192513.1111
600	0.9795684985	192453.7504
601	0.9795887871	192358.1728
602	0.9796042157	192285.4582
603	0.9796300817	192163.4912
604	0.9796771199	191941.4909
605	0.9796892808	191884.055
606	0.9797075315	191797.8243
607	0.9797198372	191739.6607
608	0.9797386044	191650.9228
609	0.9797595549	191551.8125
610	0.9797770784	191468.8749
611	0.9798006588	191357.2139
612	0.9798108006	191309.1688
613	0.9798371195	191184.4316
614	0.9798740461	191009.2823
615	0.9798797106	190982.4008
616	0.9798909601	190929.0028
617	0.9799046488	190864.0069
618	0.9799268773	190758.4155
619	0.9799457133	190668.8933
620	0.9799690667	190557.8432
621	0.9799824788	190494.037
622	0.9799953117	190432.9655
623	0.980010808	190359.1937
624	0.9800356788	190240.7333
625	0.980051723	190164.2748
626	0.980068026	190086.5517
627	0.980080356	190027.7484
628	0.9800990412	189938.6016
629	0.9801198105	189839.4626
630	0.9801544197	189674.1459
631	0.9801738371	189581.3327
632	0.9801813154	189545.5745
633	0.9801939197	189485.2914
634	0.9802071326	189422.0769
635	0.9802103751	189406.5604
636	0.9802248215	189337.4149
637	0.9802353311	189287.096
638	0.9802473042	189229.7538
639	0.9802501206	189216.2629
640	0.9802819147	189063.8975
641	0.9803003124	188975.6752
642	0.9803300744	188832.8704
643	0.9803464598	188754.2034
644	0.980366182	188659.4732
645	0.9803916736	188536.96
646	0.9803955206	188518.4642
647	0.9804166287	188416.9486
648	0.9804424477	188292.7016
649	0.9804689197	188165.2274
650	0.9804936216	188046.1989
651	0.9805057171	187987.888
652	0.9805182427	187927.4844
653	0.980528419	187878.3962
654	0.9805450436	187798.1751
655	0.9805569645	187740.63
656	0.9805707266	187674.1753
657	0.9805783727	187637.2435
658	0.9806105248	187481.8645
659	0.9806207568	187432.39
660	0.980642161	187328.8526
661	0.9806662296	187212.3586
662	0.9806734861	187177.2222
663	0.9806819743	187136.1136
664	0.9806899968	187097.252
665	0.9807042785	187028.0508
666	0.9807214882	186944.6278
667	0.9807307791	186899.5753
668	0.9807445355	186832.849
669	0.9807602677	186756.5097
670	0.9807695979	186711.2209
671	0.980799825	186564.4234
672	0.9808227694	186452.9166
673	0.9808467672	186336.2194
674	0.9808689938	186228.0699
675	0.9808748952	186199.3447
676	0.9808817445	186165.9997
677	0.9808969449	186091.9771
678	0.9809175818	185991.4331
679	0.9809223126	185968.3769
680	0.980936357	185899.912
681	0.9809434384	185865.3816
682	0.9809630344	185769.7936
683	0.9809850717	185662.2385
684	0.9810029834	185574.7729
685	0.981024751	185468.4227
686	0.9810411969	185388.0323
687	0.9810539592	185325.6236
688	0.9810820675	185188.0984
689	0.9811086429	185057.9793
690	0.9811282914	184961.7168
691	0.9811348733	184929.459
692	0.9811588928	184811.6933
693	0.9811659033	184777.3072
694	0.9811924339	184647.1187
695	0.9812135541	184543.4136
696	0.9812291927	184466.587
697	0.9812473949	184377.1255
698	0.981275968	184236.6058
699	0.9812931441	184152.0837
700	0.9813009585	184113.6168
701	0.9813061434	184088.089
702	0.9813130909	184053.8781
703	0.9813333016	183954.3203
704	0.9813555248	183844.7865
705	0.9813686532	183780.0484
706	0.9813862361	183693.3088
