iter	Passed	Remaining
0	12	18251
1	17	13481
2	23	11955
3	29	11137
4	34	10235
5	39	9825
6	44	9546
7	49	9213
8	53	8915
9	58	8760
10	64	8711
11	69	8578
12	73	8457
13	78	8361
14	83	8279
15	88	8193
16	93	8163
17	97	8056
18	102	7976
19	108	8010
20	114	8060
21	119	8006
22	126	8094
23	134	8292
24	144	8531
25	153	8725
26	160	8752
27	165	8694
28	170	8633
29	174	8547
30	178	8481
31	185	8529
32	195	8691
33	204	8832
34	212	8893
35	219	8907
36	224	8877
37	230	8852
38	235	8815
39	239	8748
40	244	8700
41	249	8651
42	254	8618
43	259	8582
44	263	8533
45	268	8493
46	274	8481
47	279	8443
48	284	8426
49	289	8391
50	294	8357
51	298	8321
52	303	8290
53	308	8269
54	318	8360
55	323	8338
56	328	8313
57	333	8293
58	338	8275
59	343	8253
60	348	8228
61	353	8207
62	359	8189
63	363	8164
64	369	8151
65	376	8180
66	380	8146
67	385	8116
68	390	8102
69	397	8128
70	404	8133
71	410	8137
72	415	8127
73	421	8115
74	427	8113
75	432	8101
76	437	8087
77	443	8088
78	449	8079
79	454	8062
80	460	8075
81	472	8165
82	478	8161
83	484	8159
84	489	8149
85	494	8134
86	501	8140
87	508	8161
88	515	8168
89	520	8151
90	527	8166
91	534	8180
92	541	8197
93	546	8179
94	556	8228
95	565	8263
96	577	8351
97	588	8413
98	599	8489
99	609	8538
100	619	8578
101	628	8614
102	638	8664
103	648	8708
104	655	8704
105	663	8725
106	671	8745
107	679	8762
108	687	8770
109	694	8773
110	699	8751
111	705	8740
112	710	8717
113	717	8721
114	725	8739
115	732	8743
116	738	8725
117	746	8744
118	753	8739
119	760	8748
120	768	8762
121	777	8782
122	784	8777
123	791	8786
124	798	8788
125	807	8810
126	814	8804
127	821	8803
128	829	8817
129	834	8794
130	840	8782
131	843	8736
132	848	8723
133	855	8723
134	861	8713
135	867	8702
136	874	8695
137	879	8676
138	884	8661
139	889	8641
140	894	8619
141	899	8600
142	904	8578
143	908	8558
144	913	8536
145	918	8521
146	924	8509
147	930	8500
148	937	8502
149	943	8493
150	948	8475
151	953	8459
152	959	8448
153	964	8426
154	968	8407
155	973	8387
156	978	8368
157	980	8325
158	984	8300
159	988	8276
160	992	8253
161	997	8235
162	1001	8213
163	1006	8197
164	1019	8251
165	1032	8300
166	1041	8315
167	1050	8327
168	1057	8331
169	1064	8324
170	1070	8318
171	1077	8316
172	1082	8300
173	1086	8282
174	1091	8262
175	1095	8240
176	1100	8225
177	1104	8205
178	1109	8190
179	1114	8176
180	1119	8159
181	1124	8144
182	1128	8122
183	1130	8087
184	1134	8066
185	1139	8051
186	1144	8038
187	1150	8027
188	1154	8008
189	1159	7994
190	1164	7978
191	1169	7964
192	1173	7948
193	1178	7933
194	1183	7920
195	1188	7906
196	1193	7891
197	1198	7880
198	1203	7866
199	1207	7848
200	1212	7836
201	1220	7843
202	1229	7854
203	1238	7866
204	1242	7850
205	1247	7835
206	1252	7822
207	1257	7808
208	1261	7790
209	1266	7778
210	1271	7765
211	1275	7749
212	1279	7733
213	1284	7719
214	1291	7721
215	1296	7708
216	1302	7698
217	1308	7694
218	1312	7678
219	1317	7666
220	1322	7654
221	1327	7639
222	1331	7624
223	1336	7611
224	1340	7597
225	1345	7583
226	1350	7573
227	1355	7559
228	1360	7550
229	1367	7549
230	1375	7553
231	1382	7558
232	1389	7553
233	1395	7549
234	1401	7546
235	1407	7539
236	1412	7530
237	1419	7528
238	1425	7523
239	1432	7518
240	1439	7518
241	1447	7525
242	1453	7516
243	1458	7507
244	1463	7495
245	1467	7481
246	1472	7468
247	1476	7454
248	1481	7441
249	1486	7431
250	1490	7418
251	1495	7407
252	1500	7395
253	1505	7384
254	1509	7371
255	1514	7360
256	1526	7381
257	1533	7382
258	1540	7383
259	1547	7378
260	1553	7375
261	1559	7370
262	1566	7367
263	1574	7370
264	1581	7369
265	1587	7366
266	1594	7364
267	1601	7364
268	1609	7364
269	1615	7358
270	1623	7361
271	1642	7416
272	1652	7426
273	1662	7440
274	1670	7439
275	1676	7435
276	1682	7428
277	1687	7416
278	1693	7413
279	1699	7406
280	1706	7401
281	1711	7390
282	1717	7386
283	1724	7381
284	1729	7373
285	1734	7362
286	1740	7357
287	1746	7350
288	1751	7338
289	1757	7332
290	1762	7320
291	1766	7308
292	1772	7301
293	1779	7301
294	1785	7292
295	1790	7281
296	1796	7277
297	1802	7270
298	1807	7261
299	1815	7260
300	1821	7255
301	1827	7251
302	1835	7249
303	1840	7241
304	1847	7237
305	1853	7233
306	1860	7230
307	1867	7227
308	1872	7216
309	1877	7205
310	1881	7193
311	1886	7184
312	1894	7184
313	1900	7177
314	1906	7173
315	1911	7163
316	1916	7151
317	1921	7143
318	1927	7135
319	1933	7131
320	1941	7132
321	1947	7124
322	1951	7112
323	1957	7104
324	1963	7098
325	1968	7087
326	1974	7081
327	1978	7070
328	1983	7061
329	1991	7060
330	1998	7056
331	2004	7053
332	2010	7044
333	2016	7039
334	2022	7034
335	2028	7026
336	2037	7032
337	2044	7030
338	2052	7028
339	2058	7024
340	2067	7026
341	2072	7015
342	2077	7007
343	2083	7002
344	2089	6996
345	2095	6988
346	2101	6982
347	2107	6975
348	2114	6973
349	2120	6965
350	2125	6959
351	2133	6957
352	2138	6948
353	2144	6942
354	2150	6935
355	2155	6928
356	2162	6922
357	2167	6912
358	2172	6904
359	2178	6899
360	2185	6894
361	2189	6884
362	2196	6880
363	2202	6874
364	2208	6867
365	2214	6860
366	2219	6852
367	2225	6844
368	2229	6834
369	2233	6822
370	2238	6811
371	2243	6802
372	2257	6822
373	2273	6843
374	2282	6846
375	2287	6839
376	2293	6832
377	2299	6825
378	2305	6818
379	2310	6810
380	2316	6802
381	2320	6792
382	2325	6782
383	2330	6771
384	2335	6764
385	2340	6754
386	2345	6745
387	2350	6735
388	2355	6727
389	2360	6717
390	2364	6707
391	2369	6698
392	2374	6688
393	2379	6678
394	2384	6669
395	2389	6661
396	2394	6652
397	2399	6643
398	2405	6636
399	2411	6630
400	2415	6620
401	2420	6612
402	2426	6605
403	2431	6597
404	2436	6587
405	2441	6577
406	2448	6574
407	2452	6565
408	2457	6556
409	2463	6548
410	2468	6540
411	2473	6530
412	2477	6521
413	2483	6513
414	2488	6505
415	2492	6495
416	2496	6484
417	2502	6477
418	2506	6467
419	2511	6457
420	2515	6447
421	2521	6440
422	2526	6432
423	2530	6422
424	2535	6414
425	2541	6407
426	2546	6398
427	2550	6388
428	2554	6378
429	2560	6371
430	2566	6365
431	2571	6356
432	2575	6347
433	2580	6338
434	2585	6330
435	2590	6320
436	2594	6311
437	2599	6303
438	2604	6294
439	2608	6285
440	2613	6276
441	2619	6269
442	2624	6261
443	2628	6252
444	2633	6242
445	2637	6233
446	2642	6224
447	2647	6215
448	2651	6206
449	2656	6197
450	2660	6189
451	2665	6180
452	2670	6171
453	2675	6163
454	2679	6154
455	2684	6146
456	2689	6137
457	2694	6129
458	2698	6120
459	2703	6111
460	2707	6101
461	2711	6093
462	2716	6083
463	2720	6073
464	2726	6067
465	2731	6060
466	2735	6051
467	2740	6043
468	2745	6034
469	2749	6024
470	2756	6021
471	2761	6013
472	2765	6004
473	2771	5998
474	2777	5994
475	2782	5985
476	2789	5983
477	2794	5975
478	2799	5967
479	2804	5960
480	2809	5952
481	2813	5942
482	2819	5937
483	2824	5928
484	2828	5920
485	2833	5912
486	2838	5904
487	2842	5894
488	2847	5886
489	2852	5879
490	2857	5871
491	2862	5863
492	2867	5857
493	2872	5849
494	2877	5841
495	2883	5837
496	2889	5831
497	2894	5823
498	2899	5816
499	2904	5809
500	2910	5804
501	2915	5795
502	2920	5788
503	2925	5782
504	2930	5774
505	2936	5768
506	2940	5759
507	2945	5752
508	2951	5746
509	2955	5737
510	2960	5730
511	2966	5724
512	2971	5716
513	2975	5708
514	2981	5702
515	2986	5694
516	2990	5686
517	2997	5683
518	3002	5675
519	3007	5667
520	3014	5664
521	3018	5655
522	3023	5648
523	3028	5641
524	3033	5633
525	3038	5626
526	3043	5619
527	3048	5612
528	3052	5603
529	3057	5596
530	3062	5588
531	3067	5581
532	3071	5572
533	3076	5565
534	3081	5558
535	3086	5550
536	3091	5543
537	3095	5535
538	3100	5527
539	3105	5520
540	3110	5512
541	3117	5510
542	3126	5510
543	3133	5507
544	3140	5502
545	3147	5499
546	3152	5492
547	3157	5485
548	3162	5478
549	3167	5470
550	3172	5463
551	3176	5455
552	3181	5447
553	3185	5440
554	3190	5433
555	3195	5425
556	3200	5417
557	3204	5410
558	3209	5402
559	3213	5394
560	3218	5387
561	3222	5379
562	3227	5371
563	3232	5364
564	3237	5357
565	3243	5352
566	3248	5346
567	3253	5338
568	3258	5332
569	3265	5327
570	3269	5320
571	3274	5312
572	3279	5305
573	3284	5298
574	3289	5291
575	3294	5284
576	3298	5277
577	3303	5269
578	3308	5262
579	3313	5255
580	3317	5246
581	3322	5240
582	3326	5232
583	3331	5224
584	3335	5217
585	3340	5210
586	3345	5203
587	3350	5196
588	3354	5188
589	3359	5180
590	3364	5174
591	3368	5166
592	3372	5159
593	3377	5151
594	3381	5143
595	3386	5137
596	3391	5129
597	3396	5123
598	3401	5115
599	3405	5108
600	3410	5101
601	3415	5094
602	3420	5087
603	3425	5081
604	3429	5073
605	3434	5066
606	3439	5059
607	3443	5052
608	3449	5046
609	3453	5038
610	3458	5032
611	3463	5024
612	3467	5017
613	3472	5011
614	3477	5003
615	3481	4996
616	3486	4989
617	3491	4983
618	3496	4976
619	3501	4969
620	3505	4962
621	3510	4955
622	3514	4947
623	3519	4940
624	3524	4934
625	3529	4927
626	3533	4920
627	3538	4913
628	3543	4906
629	3548	4900
630	3553	4893
631	3557	4886
632	3562	4879
